switch_score_buffer,period,months,strategy_return,equal_weight_return,static_60_40_return,strategy_minus_equal_weight,strategy_minus_static_60_40,average_strategy_turnover
0.1,2008,8,-0.25761494601652546,-0.25761494601652546,-0.2012911825418202,0.0,-0.056323763474705246,0.0625
0.1,2009,12,0.2373598022078196,0.2373598022078196,0.15676465975836118,0.0,0.08059514244945842,0.0
0.1,2010,12,0.18719976856682208,0.18719976856682208,0.15316751466261214,0.0,0.03403225390420994,0.0
0.1,2011,12,0.0842100714903029,0.0842100714903029,0.17795179718083598,0.0,-0.09374172569053307,0.0
0.1,2012,12,0.06893775304131866,0.06893775304131866,0.1004812183160455,0.0,-0.031543465274726845,0.0
0.1,2013,12,0.024564172569562448,0.024564172569562448,0.10557170697900564,0.0,-0.0810075344094432,0.0
0.1,2014,12,0.04609438656344489,0.08076540654816111,0.21062706822376742,-0.03467101998471622,-0.16453268166032253,0.06249999999999999
0.1,2015,12,-0.031292924062434224,-0.06624449136067534,-0.022884916278532397,0.034951567298241115,-0.008408007783901827,0.24305555555555555
0.1,2016,12,0.1336884591132459,0.12395566788522538,0.10360290070582234,0.00973279122802051,0.03008555840742355,0.1805555555555555
0.1,2017,12,0.19179978734362657,0.12812178066568602,0.17387014584323057,0.06367800667794055,0.017929641500396,0.11805555555555554
0.1,2018,12,0.03785645041100483,-0.00846991926198637,-0.002044071396393621,0.0463263696729912,0.03990052180739845,0.08333333333333333
0.1,2019,12,0.10209179087059628,0.12550709560297846,0.22667397559939428,-0.02341530473238218,-0.124582184728798,0.4166666666666666
0.1,2020,12,0.1576098151619203,0.131569363864513,0.13840398679409915,0.026040451297407285,0.019205828367821143,0.1111111111111111
0.1,2021,12,0.06944406880996712,0.08635889069675473,0.11448185514041942,-0.016914821886787612,-0.0450377863304523,0.027777777777777776
0.1,2022,12,0.05352729430846037,-0.05182221223278083,-0.1400554019407526,0.1053495065412412,0.19358269624921298,0.08333333333333333
0.1,2023,12,0.11686039612051902,0.05696996843332469,0.09034244091594057,0.059890427687194325,0.026517955204578447,0.19444444444444445
0.1,2024,12,0.13805355866503466,0.12951643433286142,0.1261873321451945,0.00853712433217324,0.01186622651984015,0.16666666666666666
0.1,2025,12,0.10422622720588537,0.17912043882308204,0.11348015347639873,-0.07489421161719667,-0.009253926270513357,0.3611111111111111
0.1,2026,3,0.03491348315132137,0.05174884977788796,0.023825711226092228,-0.016835366626566595,0.01108777192522914,0.1111111111111111
0.2,2008,8,-0.25761494601652546,-0.25761494601652546,-0.2012911825418202,0.0,-0.056323763474705246,0.0625
0.2,2009,12,0.2373598022078196,0.2373598022078196,0.15676465975836118,0.0,0.08059514244945842,0.0
0.2,2010,12,0.18719976856682208,0.18719976856682208,0.15316751466261214,0.0,0.03403225390420994,0.0
0.2,2011,12,0.0842100714903029,0.0842100714903029,0.17795179718083598,0.0,-0.09374172569053307,0.0
0.2,2012,12,0.06893775304131866,0.06893775304131866,0.1004812183160455,0.0,-0.031543465274726845,0.0
0.2,2013,12,0.024564172569562448,0.024564172569562448,0.10557170697900564,0.0,-0.0810075344094432,0.0
0.2,2014,12,0.04609438656344489,0.08076540654816111,0.21062706822376742,-0.03467101998471622,-0.16453268166032253,0.06249999999999999
0.2,2015,12,-0.031292924062434224,-0.06624449136067534,-0.022884916278532397,0.034951567298241115,-0.008408007783901827,0.24305555555555555
0.2,2016,12,0.1336884591132459,0.12395566788522538,0.10360290070582234,0.00973279122802051,0.03008555840742355,0.1805555555555555
0.2,2017,12,0.19179978734362657,0.12812178066568602,0.17387014584323057,0.06367800667794055,0.017929641500396,0.11805555555555554
0.2,2018,12,0.003660762377872606,-0.00846991926198637,-0.002044071396393621,0.012130681639858976,0.005704833774266227,0.05555555555555555
0.2,2019,12,0.1322204996948131,0.12550709560297846,0.22667397559939428,0.006713404091834629,-0.0944534759045812,0.0
0.2,2020,12,0.12287899462610863,0.131569363864513,0.13840398679409915,-0.008690369238404383,-0.015524992167990526,0.0
0.2,2021,12,0.0696222096584378,0.08635889069675473,0.11448185514041942,-0.016736681038316936,-0.044859645481981625,0.0
0.2,2022,12,0.05352729430846037,-0.05182221223278083,-0.1400554019407526,0.1053495065412412,0.19358269624921298,0.08333333333333333
0.2,2023,12,0.19255661326976292,0.05696996843332469,0.09034244091594057,0.13558664483643823,0.10221417235382235,0.13888888888888887
0.2,2024,12,0.15299011943982732,0.12951643433286142,0.1261873321451945,0.023473685106965902,0.026802787294632813,0.16666666666666666
0.2,2025,12,0.10422622720588537,0.17912043882308204,0.11348015347639873,-0.07489421161719667,-0.009253926270513357,0.3611111111111111
0.2,2026,3,0.03491348315132137,0.05174884977788796,0.023825711226092228,-0.016835366626566595,0.01108777192522914,0.1111111111111111
0.5,2008,8,-0.25761494601652546,-0.25761494601652546,-0.2012911825418202,0.0,-0.056323763474705246,0.0625
0.5,2009,12,0.2373598022078196,0.2373598022078196,0.15676465975836118,0.0,0.08059514244945842,0.0
0.5,2010,12,0.18719976856682208,0.18719976856682208,0.15316751466261214,0.0,0.03403225390420994,0.0
0.5,2011,12,0.0842100714903029,0.0842100714903029,0.17795179718083598,0.0,-0.09374172569053307,0.0
0.5,2012,12,0.06893775304131866,0.06893775304131866,0.1004812183160455,0.0,-0.031543465274726845,0.0
0.5,2013,12,0.024564172569562448,0.024564172569562448,0.10557170697900564,0.0,-0.0810075344094432,0.0
0.5,2014,12,0.04609438656344489,0.08076540654816111,0.21062706822376742,-0.03467101998471622,-0.16453268166032253,0.06249999999999999
0.5,2015,12,0.026941136756789552,-0.06624449136067534,-0.022884916278532397,0.09318562811746489,0.04982605303532195,0.09027777777777778
0.5,2016,12,0.17626076016958092,0.12395566788522538,0.10360290070582234,0.05230509228435554,0.07265785946375858,0.06249999999999999
0.5,2017,12,0.16475649573421602,0.12812178066568602,0.17387014584323057,0.03663471506853,-0.009113650109014548,0.0
0.5,2018,12,0.029146693958101322,-0.00846991926198637,-0.002044071396393621,0.03761661322008769,0.031190765354494943,0.0
0.5,2019,12,0.14820559355552465,0.12550709560297846,0.22667397559939428,0.022698497952546193,-0.07846838204386963,0.027777777777777776
0.5,2020,12,0.12287899462610863,0.131569363864513,0.13840398679409915,-0.008690369238404383,-0.015524992167990526,0.0
0.5,2021,12,0.0696222096584378,0.08635889069675473,0.11448185514041942,-0.016736681038316936,-0.044859645481981625,0.0
