start,end,months,strategy_sharpe,equal_weight_sharpe,static_60_40_sharpe,strategy_minus_equal_weight_sharpe,strategy_minus_static_60_40_sharpe
2008-05-31,2011-04-30,36,0.3386369173411303,0.3386369173411303,0.31163936474303594,0.0,0.026997552598094332
2008-06-30,2011-05-31,36,0.3716306068900491,0.3716306068900491,0.36964862795262543,0.0,0.0019819789374236896
2008-07-31,2011-06-30,36,0.4258691954983024,0.4258691954983024,0.403051329755282,0.0,0.02281786574302036
2008-08-31,2011-07-31,36,0.4062928376750536,0.4062928376750536,0.36613936269895014,0.0,0.04015347497610344
2008-09-30,2011-08-31,36,0.39221733341249815,0.39221733341249815,0.5496769900623277,0.0,-0.15745965664982958
2008-10-31,2011-09-30,36,1.1115319825377334,1.1115319825377334,1.1495385325087926,0.0,-0.03800654997105912
2008-11-30,2011-10-31,36,1.251716543758232,1.251716543758232,1.116403249963575,0.0,0.13531329379465706
2008-12-31,2011-11-30,36,1.0898917339553806,1.0898917339553806,1.0214854559103057,0.0,0.06840627804507493
2009-01-31,2011-12-31,36,1.5221235501607806,1.5221235501607806,1.831823159773478,0.0,-0.3096996096126974
2009-02-28,2012-01-31,36,1.9414967525420865,1.9414967525420865,2.6670665646439167,0.0,-0.7255698121018301
2009-03-31,2012-02-29,36,1.7939944254521945,1.7939944254521945,2.5409004392074905,0.0,-0.7469060137552961
2009-04-30,2012-03-31,36,1.6205801248861331,1.6205801248861331,2.4788808079286913,0.0,-0.8583006830425581
2009-05-31,2012-04-30,36,1.250337137613424,1.250337137613424,2.354261790339843,0.0,-1.103924652726419
2009-06-30,2012-05-31,36,1.3792993107366283,1.3792993107366283,2.446649929215898,0.0,-1.0673506184792696
2009-07-31,2012-06-30,36,1.2766235487242379,1.2766235487242379,2.408043973576574,0.0,-1.1314204248523363
2009-08-31,2012-07-31,36,1.269203637361058,1.269203637361058,2.3173266403997568,0.0,-1.0481230030386988
2009-09-30,2012-08-31,36,1.1870726122512205,1.1870726122512205,2.1963295290120874,0.0,-1.009256916760867
2009-10-31,2012-09-30,36,1.173583208125649,1.173583208125649,2.304080074114923,0.0,-1.130496865989274
2009-11-30,2012-10-31,36,1.0631639475869037,1.0631639475869037,2.1958468883711126,0.0,-1.132682940784209
2009-12-31,2012-11-30,36,1.062908904946139,1.062908904946139,2.2975833122566773,0.0,-1.2346744073105382
2010-01-31,2012-12-31,36,1.273548471049973,1.273548471049973,2.544009482541875,0.0,-1.270461011491902
2010-02-28,2013-01-31,36,1.165412436558339,1.165412436558339,2.517061468176275,0.0,-1.3516490316179361
2010-03-31,2013-02-28,36,1.0950821375395225,1.0950821375395225,2.4954316004173673,0.0,-1.4003494628778448
2010-04-30,2013-03-31,36,1.0355306176985017,1.0355306176985017,2.5150497071275257,0.0,-1.479519089429024
2010-05-31,2013-04-30,36,1.1459605607735277,1.1459605607735277,2.747793996224838,0.0,-1.6018334354513102
2010-06-30,2013-05-31,36,1.067768725377545,1.067768725377545,2.552682260530991,0.0,-1.484913535153446
2010-07-31,2013-06-30,36,1.0286503298621381,1.0286503298621381,2.5296260940447195,0.0,-1.5009757641825814
2010-08-31,2013-07-31,36,1.0144514920121204,1.0144514920121204,2.182708317129615,0.0,-1.1682568251174945
2010-09-30,2013-08-31,36,0.9205828668147599,0.9205828668147599,2.1568099566794574,0.0,-1.2362270898646974
2010-10-31,2013-09-30,36,0.9150903417525804,0.9150903417525804,2.2807726276170945,0.0,-1.3656822858645141
2010-11-30,2013-10-31,36,0.9078414202089112,0.9078414202089112,2.409581347286821,0.0,-1.5017399270779097
2010-12-31,2013-11-30,36,0.7779535990713482,0.7779535990713482,2.321828670347673,0.0,-1.5438750712763247
2011-01-31,2013-12-31,36,0.7561139595652976,0.7561139595652976,2.3430403476924666,0.0,-1.5869263881271691
2011-02-28,2014-01-31,36,0.7801965743724666,0.7801965743724666,2.3467846371153818,0.0,-1.5665880627429152
2011-03-31,2014-02-28,36,0.7476317663911901,0.7476317663911901,2.412872715286419,0.0,-1.665240948895229
2011-04-30,2014-03-31,36,0.6470448212596069,0.6470448212596069,2.352256384784526,0.0,-1.7052115635249192
2011-05-31,2014-04-30,36,0.7328869601072405,0.7328869601072405,2.45003105688719,0.0,-1.7171440967799496
2011-06-30,2014-05-31,36,0.9088654026604723,0.9088654026604723,2.818642935927281,0.0,-1.9097775332668088
2011-07-31,2014-06-30,36,0.7972428034038984,0.7972428034038984,2.6946808963652704,0.0,-1.8974380929613721
2011-08-31,2014-07-31,36,0.9667001340872285,0.9667001340872285,2.8045479863293665,0.0,-1.837847852242138
2011-09-30,2014-08-31,36,1.161429642611224,1.161429642611224,2.5001436209448897,0.0,-1.3387139783336657
2011-10-31,2014-09-30,36,1.0559237778205015,1.0559237778205015,2.517306418220742,0.0,-1.4613826404002406
2011-11-30,2014-10-31,36,1.1085565196698632,1.1085565196698632,2.635628537398298,0.0,-1.5270720177284347
2011-12-31,2014-11-30,36,1.0974698998627035,1.0974698998627035,2.5879848428854557,0.0,-1.4905149430227522
2012-01-31,2014-12-31,36,0.7984734718330669,1.0056493071524841,2.572773798303464,-0.2071758353194172,-1.7743003264703971
2012-02-29,2015-01-31,36,0.8309175982765207,0.9874497887192243,2.5303686951830917,-0.1565321904427036,-1.699451096906571
2012-03-31,2015-02-28,36,0.824054957900963,0.9283255871512609,2.452585830848618,-0.10427062925029795,-1.628530872947655
2012-04-30,2015-03-31,36,0.7773537021450476,0.9436187511923257,2.2541060502364987,-0.16626504904727812,-1.476752348091451
2012-05-31,2015-04-30,36,1.2049493730153709,1.30415713979728,2.2366596775833343,-0.09920776678190912,-1.0317103045679634
2012-06-30,2015-05-31,36,0.9138746116737664,1.0028561866936547,1.7953977575832123,-0.08898157501988835,-0.8815231459094459
2012-07-31,2015-06-30,36,0.8074473922445224,0.8919571712093066,1.8227456784429996,-0.08450977896478418,-1.0152982861984772
2012-08-31,2015-07-31,36,0.4452845753846294,0.5096003178925581,1.3808845010860233,-0.06431574250792871,-0.9355999257013939
2012-09-30,2015-08-31,36,0.305010491368267,0.36380448404207333,1.3013272563924176,-0.058793992673806306,-0.9963167650241507
2012-10-31,2015-09-30,36,0.5861466618966682,0.6508184493431249,1.5641593509553084,-0.06467178744645674,-0.9780126890586402
2012-11-30,2015-10-31,36,0.549848321189544,0.5422629329888866,1.509751693132039,0.00758538820065735,-0.959903371942495
2012-12-31,2015-11-30,36,0.3948862138170918,0.3766518233343761,1.4612554997207279,0.018234390482715745,-1.066369285903636
2013-01-31,2015-12-31,36,0.20213881766427041,0.1831558048112375,1.322622225150931,0.018983012853032916,-1.1204834074866605
2013-02-28,2016-01-31,36,0.2525863047230526,0.2344788936855861,1.319035209942474,0.018107411037466492,-1.0664489052194215
2013-03-31,2016-02-29,36,0.379381847113144,0.3639463939295205,1.3751370232963265,0.015435453183623493,-0.9957551761831824
2013-04-30,2016-03-31,36,0.3839269053702803,0.36856116667404804,1.2397774720949908,0.015365738696232256,-0.8558505667247105
2013-05-31,2016-04-30,36,0.49962489414460315,0.48583900820492565,1.3912388419439397,0.0137858859396775,-0.8916139477993366
2013-06-30,2016-05-31,36,0.8085117321164483,0.7991601104255063,1.6811019189021374,0.009351621690942058,-0.8725901867856891
2013-07-31,2016-06-30,36,0.7899927588959658,0.7804277653908092,1.7084079363472333,0.009564993505156605,-0.9184151774512676
2013-08-31,2016-07-31,36,0.8368810977530432,0.8280442157181981,1.876466872247755,0.008836882034845117,-1.039585774494712
2013-09-30,2016-08-31,36,0.7594910898571016,0.7607906125122206,1.7189621015301595,-0.001299522655119012,-0.9594710116730579
2013-10-31,2016-09-30,36,0.5998868300436622,0.5275234920616628,1.3543758205885328,0.07236333798199934,-0.7544889905448706
2013-11-30,2016-10-31,36,0.5727374367215115,0.5030185977146492,1.2481887275064942,0.06971883900686227,-0.6754512907849828
2013-12-31,2016-11-30,36,0.6375297987915334,0.5677478236328514,1.2591385954481833,0.06978197515868201,-0.6216087966566499
2014-01-31,2016-12-31,36,0.757760060797386,0.6874989710155242,1.3082976446910204,0.07026108978186185,-0.5505375838936344
2014-02-28,2017-01-31,36,0.7043502642676734,0.6327921070626493,1.30989382458288,0.07155815720502412,-0.6055435603152065
2014-03-31,2017-02-28,36,0.7209771066282296,0.649260094988368,1.2563697626441392,0.07171701163986155,-0.5353926560159097
2014-04-30,2017-03-31,36,0.7374097719373015,0.6656382744053395,1.2549677629030858,0.07177149753196199,-0.5175579909657843
2014-05-31,2017-04-30,36,0.704285630862085,0.6324838183008301,1.217231903548468,0.07180181256125484,-0.512946272686383
2014-06-30,2017-05-31,36,0.5276809909237437,0.5396637824836051,1.195715383528164,-0.011982791559861483,-0.6680343926044203
2014-07-31,2017-06-30,36,0.6238238207357759,0.6999630553938045,1.279625723317403,-0.07613923465802863,-0.6558019025816272
2014-08-31,2017-07-31,36,0.5451066354066616,0.6407253282426053,1.1926587701760747,-0.09561869283594371,-0.6475521347694131
2014-09-30,2017-08-31,36,0.7866451303896194,0.9187756648641832,1.3247604327300133,-0.1321305344745638,-0.538115302340394
2014-10-31,2017-09-30,36,0.8530666829640743,0.8965958448021961,1.277558734897783,-0.04352916183812183,-0.42449205193370876
2014-11-30,2017-10-31,36,0.9157115511068462,0.9268007874718108,1.252099601284324,-0.011089236364964616,-0.33638805017747775
2014-12-31,2017-11-30,36,1.0700117392755188,1.0467673454963102,1.266917767354625,0.023244393779208616,-0.19690602807910618
2015-01-31,2017-12-31,36,1.351964820814678,1.0554725749369565,1.2641574877487116,0.2964922458777215,0.08780733306596633
2015-02-28,2018-01-31,36,1.1282601717355574,0.746394776921011,0.9626531083877911,0.3818653948145464,0.16560706334776631
2015-03-31,2018-02-28,36,0.9783665578611206,0.8072318589356274,0.9630109955586706,0.17113469892549316,0.015355562302449943
2015-04-30,2018-03-31,36,1.0269956821464201,0.7994208876622764,0.9784091380076457,0.22757479448414375,0.04858654413877439
2015-05-31,2018-04-30,36,1.0776489268367342,0.9056340172208603,1.09576488157125,0.17201490961587385,-0.01811595473451577
2015-06-30,2018-05-31,36,1.2244024331557812,1.021792525250753,1.337511064418686,0.2026099079050283,-0.11310863126290482
2015-07-31,2018-06-30,36,1.3484664541178173,1.0926866160166382,1.2816283209730617,0.2557798381011791,0.06683813314475562
2015-08-31,2018-07-31,36,1.7621453907910147,1.4975347043163352,1.7878179242868693,0.26461068647467956,-0.02567253349585452
2015-09-30,2018-08-31,36,1.865359101264951,1.580564341752154,1.7838327117677772,0.2847947595127971,0.08152638949717383
2015-10-31,2018-09-30,36,1.2478462085705255,0.9462226272337152,1.0674301424648918,0.30162358133681033,0.18041606610563377
2015-11-30,2018-10-31,36,1.2715262312913946,1.0602056093071772,1.1703917559332648,0.21132062198421742,0.1011344753581298
2015-12-31,2018-11-30,36,1.1822420079800666,0.9381888995544367,1.031580982520654,0.24405310842562988,0.1506610254594125
2016-01-31,2018-12-31,36,1.4855898862438204,1.2795421138142862,1.2571777773477475,0.2060477724295342,0.22841210889607289
2016-02-29,2019-01-31,36,1.4799397541095003,1.3111774532618559,1.2668087404370958,0.16876230084764443,0.2131310136724045
2016-03-31,2019-02-28,36,1.4110285325891194,1.2247374302610254,1.249701954718549,0.18629110232809398,0.16132657787057036
2016-04-30,2019-03-31,36,1.4578819765741595,1.2492778683751582,1.3369539977040303,0.20860410819900133,0.12092797887012918
2016-05-31,2019-04-30,36,1.292654241260209,1.0408139933785865,1.1992689152455158,0.2518402478816224,0.09338532601469307
2016-06-30,2019-05-31,36,1.280711938234565,1.0843393951832458,1.2380797141489766,0.19637254305131924,0.04263222408558853
2016-07-31,2019-06-30,36,1.2513509796322917,0.9884958946392381,1.1591437742265098,0.26285508499305354,0.09220720540578187
2016-08-31,2019-07-31,36,1.3445988876126493,1.0510358004644302,1.3204242527938785,0.2935630871482191,0.0241746348187708
2016-09-30,2019-08-31,36,1.3106094327314635,1.0415071427188631,1.361370978807613,0.26910229001260033,-0.050761546076149466
2016-10-31,2019-09-30,36,1.3305034874715158,1.2740271066039153,1.6179391277706712,0.05647638086760054,-0.28743564029915536
2016-11-30,2019-10-31,36,1.521779583939948,1.3712426983973716,1.800588360106283,0.15053688554257638,-0.27880877616633515
2016-12-31,2019-11-30,36,1.41200651294679,1.406470833565451,1.768435236042745,0.0055356793813390315,-0.3564287230959551
2017-01-31,2019-12-31,36,1.3310095480883934,1.3161690603878957,1.8306420434176773,0.014840487700497729,-0.4996324953292839
2017-02-28,2020-01-31,36,0.7707555232228733,0.9661412799367132,1.5340824987739765,-0.19538575671383984,-0.7633269755511032
2017-03-31,2020-02-29,36,0.16640829638661078,0.40116546504522643,1.1662156574922977,-0.23475716865861565,-0.9998073611056869
2017-04-30,2020-03-31,36,0.4283845781629149,0.5684294773708765,1.301388015896596,-0.14004489920796154,-0.873003437733681
2017-05-31,2020-04-30,36,0.48389984239881645,0.6530282366751026,1.321190345160273,-0.16912839427628612,-0.8372905027614564
2017-06-30,2020-05-31,36,0.6139036920584375,0.7458394011347751,1.3419152111621073,-0.13193570907633756,-0.7280115191036698
2017-07-31,2020-06-30,36,0.7171726711678128,0.8174158871322977,1.4643312804715642,-0.10024321596448493,-0.7471586093037514
2017-08-31,2020-07-31,36,0.8032585170936101,0.8634763447507108,1.486972860729115,-0.06021782765710071,-0.683714343635505
2017-09-30,2020-08-31,36,0.7408533948261209,0.7573898746506483,1.3733363622622654,-0.01653647982452744,-0.6324829674361445
2017-10-31,2020-09-30,36,0.6490631208222069,0.6465446352545309,1.1717361632269685,0.0025184855676759765,-0.5226730424047616
2017-11-30,2020-10-31,36,0.7521294989013327,0.8021544268682479,1.277267021866009,-0.050024927966915156,-0.5251375229646762
2017-12-31,2020-11-30,36,0.7979530174598527,0.8757977371212495,1.2867365483519142,-0.07784471966139683,-0.4887835308920615
2018-01-31,2020-12-31,36,0.6413427604193572,0.8157757379822503,1.1210385147146387,-0.1744329775628931,-0.47969575429528144
2018-02-28,2021-01-31,36,0.6866306200302562,0.9785068466020682,1.255172285039191,-0.291876226571812,-0.5685416650089349
2018-03-31,2021-02-28,36,0.7791506795189231,0.9870179951984752,1.301596585611594,-0.20786731567955208,-0.5224459060926709
2018-04-30,2021-03-31,36,0.8042099363441219,1.0868090582789691,1.4597846160920382,-0.28259912193484726,-0.6555746797479164
2018-05-31,2021-04-30,36,0.7143077013889627,1.0733989385466307,1.3922381781634994,-0.359091237157668,-0.6779304767745367
2018-06-30,2021-05-31,36,0.767425066357152,1.1401050277312024,1.4765625992203577,-0.37267996137405035,-0.7091375328632057
2018-07-31,2021-06-30,36,0.7387169438833882,1.1442421058216006,1.517688029351001,-0.4055251619382124,-0.7789710854676127
2018-08-31,2021-07-31,36,0.7039166260362417,1.1460552418069236,1.4917261512363662,-0.4421386157706819,-0.7878095252001245
2018-09-30,2021-08-31,36,0.666841981577221,1.0623592130344512,1.324810319058868,-0.3955172314572303,-0.6579683374816471
2018-10-31,2021-09-30,36,0.8776793734376491,1.3997682369786715,1.7837887084832231,-0.5220888635410224,-0.906109335045574
2018-11-30,2021-10-31,36,0.8925905787463969,1.3004384201913577,1.7366979521694408,-0.4078478414449608,-0.8441073734230439
2018-12-31,2021-11-30,36,0.9860015960941964,1.564956596731589,1.9903844922771021,-0.5789550006373927,-1.0043828961829058
2019-01-31,2021-12-31,36,0.757648739593911,1.2350714168376389,1.5412267610072758,-0.4774226772437279,-0.7835780214133649
2019-02-28,2022-01-31,36,0.699102557585921,1.1572704672919116,1.3700038947206743,-0.45816790970599064,-0.6709013371347533
2019-03-31,2022-02-28,36,0.6927691051434862,1.1444076991298633,1.262222574345783,-0.45163859398637707,-0.5694534692022969
2019-04-30,2022-03-31,36,0.5567558467694058,0.8591101838094231,0.7615813608612142,-0.30235433704001724,-0.20482551409180838
2019-05-31,2022-04-30,36,0.5988493863736747,0.9459766672261439,0.7726047323274059,-0.34712728085246924,-0.1737553459537312
2019-06-30,2022-05-31,36,0.5516047741308239,0.6037047665737373,0.4584983782046442,-0.05209999244291341,0.0931063959261797
2019-07-31,2022-06-30,36,0.5483665710193609,0.7195553135833135,0.5898029133094823,-0.17118874256395256,-0.041436342290121386
2019-08-31,2022-07-31,36,0.4858565504739674,0.5762959857428044,0.3687922588936835,-0.09043943526883697,0.11706429158028392
2019-09-30,2022-08-31,36,0.43931127368839407,0.29044588313322567,0.11041601368623556,0.1488653905551684,0.3288952600021585
2019-10-31,2022-09-30,36,0.4654859411436421,0.3050138716456728,0.14838873125539612,0.16047206949796933,0.31709720988824597
2019-11-30,2022-10-31,36,0.5309920606239897,0.43307358519315037,0.24044315137603073,0.09791847543083937,0.290548909247959
2019-12-31,2022-11-30,36,0.4510280420867873,0.275411155243269,0.11748296030152304,0.17561688684351834,0.33354508178526426
2020-01-31,2022-12-31,36,0.5947853848233544,0.43155397047895927,0.19615695199158154,0.16323141434439514,0.39862843283177285
2020-02-29,2023-01-31,36,0.8426608470242615,0.4335129243282453,0.16353946343225803,0.4091479226960162,0.6791213835920035
2020-03-31,2023-02-28,36,1.6137234563120662,0.8156625429451758,0.3775134866699649,0.7980609133668903,1.2362099696421012
2020-04-30,2023-03-31,36,1.4931037040096158,0.6670627751085968,0.23160104665598077,0.826040928901019,1.261502657353635
2020-05-31,2023-04-30,36,1.503850984012498,0.5365346243233756,0.1583785647057973,0.9673163596891224,1.3454724193067007
2020-06-30,2023-05-31,36,1.4280884703998111,0.5440076579683654,0.22106362790494963,0.8840808124314458,1.2070248424948615
2020-07-31,2023-06-30,36,1.3165330923545047,0.5076126844156228,0.1232985968295026,0.8089204079388819,1.193234495525002
2020-08-31,2023-07-31,36,1.0326042413205576,0.3606193047765406,0.018305826928070215,0.671984936544017,1.0142984143924874
2020-09-30,2023-08-31,36,1.005727174182261,0.3066767631789154,-0.07943989398372074,0.6990504110033458,1.0851670681659817
2020-10-31,2023-09-30,36,0.9531552221053288,0.29367048992399797,-0.0940579245325428,0.6594847321813309,1.0472131466378716
2020-11-30,2023-10-31,36,0.8624651657719368,0.27779133901907443,-0.04555237090230625,0.5846738267528624,0.908017536674243
2020-12-31,2023-11-30,36,0.8540642230232995,0.3005174700915197,0.04907509771436555,0.5535467529317799,0.804989125308934
2021-01-31,2023-12-31,36,0.9259133176506309,0.26687410972675224,0.09640662215621162,0.6590392079238787,0.8295066954944192
2021-02-28,2024-01-31,36,1.0017923498330137,0.2897426815944227,0.1588797382121719,0.7120496682385911,0.8429126116208417
2021-03-31,2024-02-29,36,0.9820239685505024,0.35142669117263164,0.19462214787308585,0.6305972773778707,0.7874018206774166
2021-04-30,2024-03-31,36,0.8527542981051146,0.17419504071057745,-0.007725538327415845,0.6785592573945372,0.8604798364325305
2021-05-31,2024-04-30,36,0.9281441714601851,0.21670270818005433,0.07154290723250621,0.7114414632801308,0.8566012642276789
2021-06-30,2024-05-31,36,0.8739641440505965,0.21519422530115281,0.06598622627841552,0.6587699187494437,0.807977917772181
2021-07-31,2024-06-30,36,0.9297299535798191,0.2655783695467463,0.04994805387855664,0.6641515840330728,0.8797818997012625
2021-08-31,2024-07-31,36,0.9248503517184249,0.26884481513534597,0.06244230813835599,0.6560055365830789,0.862408043580069
2021-09-30,2024-08-31,36,1.0660079033076928,0.40658264659024956,0.1963707689768467,0.6594252567174432,0.8696371343308461
2021-10-31,2024-09-30,36,0.9323721618655957,0.26778680529463766,0.025677115514264964,0.6645853565709581,0.9066950463513307
