switch_score_buffer,min_regime_history,top_n,max_monthly_turnover,turnover_metric_warmup_months,median_rolling_sharpe_difference,turnover_instability_score,allocation_complexity_score,selection_score,passes_turnover_stability,research_start,research_end,research_months,strategy_sharpe,average_turnover,turnover_p90,turnover_p95,high_turnover_month_share,turnover_volatility,rolling_12m_average_turnover_max
0.5,12,3,0.15,12,-0.664224520808639,0.22938115574022774,0.0,-0.7789150986787529,True,2008-05-31,2021-12-31,164,0.6771703671240705,0.059507733148661125,0.15,0.15000000000000002,0.0,0.07209127732548679,0.13888888888888887
1.0,12,3,0.15,12,-0.8511634434937753,0.22273805762711973,0.0,-0.9625324723073352,True,2008-05-31,2021-12-31,164,0.6615536015024084,0.07726194237288025,0.15,0.15000000000000002,0.0,0.07400070046579156,0.15
0.75,12,3,0.15,12,-0.8591120678029007,0.21712402253940044,0.0,-0.967674079072601,True,2008-05-31,2021-12-31,164,0.6514935639014123,0.08287597746059956,0.15,0.15000000000000002,0.0,0.0733993452666121,0.15
0.2,12,3,0.15,12,-0.8924410302650636,0.2074909026314562,0.0,-0.9961864815807917,True,2008-05-31,2021-12-31,164,0.6343887750829127,0.09250909736854382,0.15000000000000002,0.15000000000000002,0.0,0.07182206784793062,0.15
0.2,24,3,0.15,12,-0.9413596856303779,0.25700033387626064,0.0,-1.0698598525685081,True,2008-05-31,2021-12-31,164,0.6455134995050607,0.042999666123739344,0.15,0.15,0.0,0.06683456712503606,0.15
0.5,24,3,0.15,12,-0.9413596856303779,0.25700033387626064,0.0,-1.0698598525685081,True,2008-05-31,2021-12-31,164,0.6455134995050607,0.042999666123739344,0.15,0.15,0.0,0.06683456712503606,0.15
0.75,24,3,0.15,12,-0.9413596856303779,0.25700033387626064,0.0,-1.0698598525685081,True,2008-05-31,2021-12-31,164,0.6455134995050607,0.042999666123739344,0.15,0.15,0.0,0.06683456712503606,0.15
1.0,24,3,0.15,12,-0.9413596856303779,0.25700033387626064,0.0,-1.0698598525685081,True,2008-05-31,2021-12-31,164,0.6455134995050607,0.042999666123739344,0.15,0.15,0.0,0.06683456712503606,0.15
0.2,12,2,0.15,12,-0.9849311781032479,0.20824478425819165,0.0,-1.0890535702323438,True,2008-05-31,2021-12-31,164,0.5797194582460242,0.09175521574180838,0.15000000000000002,0.15000000000000002,0.0,0.07188045993283614,0.15
0.5,12,2,0.15,12,-0.9828544046128278,0.22257225064202546,0.0,-1.0941405299338405,True,2008-05-31,2021-12-31,164,0.5921651166297527,0.0774277493579746,0.15000000000000002,0.15000000000000002,0.0,0.07381048558028501,0.15000000000000002
1.0,12,2,0.15,12,-0.979943214505012,0.2339115768670708,0.0,-1.0968990029385475,True,2008-05-31,2021-12-31,164,0.5892971668781459,0.06608842313292923,0.15000000000000002,0.15000000000000002,0.0,0.07356261832143172,0.15
0.75,12,2,0.15,12,-0.9876555797872804,0.22799052423549188,0.0,-1.1016508419050264,True,2008-05-31,2021-12-31,164,0.5913595560994449,0.07200947576450818,0.15000000000000002,0.15000000000000002,0.0,0.07404006875577095,0.15000000000000002
0.2,24,2,0.15,12,-0.97829153919407,0.2577352321890406,0.0,-1.1071591552885902,True,2008-05-31,2021-12-31,164,0.645551978403478,0.04226476781095948,0.15000000000000002,0.15000000000000002,0.0,0.06679511463861691,0.15000000000000002
0.5,24,2,0.15,12,-0.97829153919407,0.2577352321890406,0.0,-1.1071591552885902,True,2008-05-31,2021-12-31,164,0.645551978403478,0.04226476781095948,0.15000000000000002,0.15000000000000002,0.0,0.06679511463861691,0.15000000000000002
0.75,24,2,0.15,12,-0.97829153919407,0.2577352321890406,0.0,-1.1071591552885902,True,2008-05-31,2021-12-31,164,0.645551978403478,0.04226476781095948,0.15000000000000002,0.15000000000000002,0.0,0.06679511463861691,0.15000000000000002
1.0,24,2,0.15,12,-0.97829153919407,0.2577352321890406,0.0,-1.1071591552885902,True,2008-05-31,2021-12-31,164,0.645551978403478,0.04226476781095948,0.15000000000000002,0.15000000000000002,0.0,0.06679511463861691,0.15000000000000002
0.2,36,2,0.15,12,-1.0111843054453398,0.27828947368421053,0.0,-1.150329042287445,True,2008-05-31,2021-12-31,164,0.6336452740267701,0.02171052631578948,0.15000000000000002,0.15000000000000002,0.0,0.052775297199161596,0.15
0.5,36,2,0.15,12,-1.0111843054453398,0.27828947368421053,0.0,-1.150329042287445,True,2008-05-31,2021-12-31,164,0.6336452740267701,0.02171052631578948,0.15000000000000002,0.15000000000000002,0.0,0.052775297199161596,0.15
0.75,36,2,0.15,12,-1.0111843054453398,0.27828947368421053,0.0,-1.150329042287445,True,2008-05-31,2021-12-31,164,0.6336452740267701,0.02171052631578948,0.15000000000000002,0.15000000000000002,0.0,0.052775297199161596,0.15
1.0,36,2,0.15,12,-1.0111843054453398,0.27828947368421053,0.0,-1.150329042287445,True,2008-05-31,2021-12-31,164,0.6336452740267701,0.02171052631578948,0.15000000000000002,0.15000000000000002,0.0,0.052775297199161596,0.15
0.2,36,3,0.15,12,-1.0111843054453398,0.2785964912280702,0.0,-1.1504825510593748,True,2008-05-31,2021-12-31,164,0.6300753405681991,0.021403508771929824,0.14999999999999997,0.15,0.0,0.0521602433069533,0.15
0.5,36,3,0.15,12,-1.0111843054453398,0.2785964912280702,0.0,-1.1504825510593748,True,2008-05-31,2021-12-31,164,0.6300753405681991,0.021403508771929824,0.14999999999999997,0.15,0.0,0.0521602433069533,0.15
0.75,36,3,0.15,12,-1.0111843054453398,0.2785964912280702,0.0,-1.1504825510593748,True,2008-05-31,2021-12-31,164,0.6300753405681991,0.021403508771929824,0.14999999999999997,0.15,0.0,0.0521602433069533,0.15
1.0,36,3,0.15,12,-1.0111843054453398,0.2785964912280702,0.0,-1.1504825510593748,True,2008-05-31,2021-12-31,164,0.6300753405681991,0.021403508771929824,0.14999999999999997,0.15,0.0,0.0521602433069533,0.15
1.0,12,3,0.25,12,-0.6292847212396772,0.4937166128178583,0.0,-0.8761430276486063,False,2008-05-31,2021-12-31,164,0.7339520438489359,0.07523418920226588,0.25,0.25000000000000006,0.07894736842105263,0.11126965735591013,0.2400034335990715
0.75,12,3,0.25,12,-0.6292847212396772,0.49763739963338194,0.0,-0.8781034210563681,False,2008-05-31,2021-12-31,164,0.7173886153872813,0.08447129712358432,0.25,0.25000000000000006,0.09210526315789473,0.11453274241800569,0.2400034335990715
0.2,12,3,0.25,12,-0.7164967231226762,0.47902277380512537,0.0,-0.9560081100252389,False,2008-05-31,2021-12-31,164,0.6776271653563757,0.09992459461592729,0.25,0.25000000000000006,0.07894736842105263,0.11906517213050415,0.25
0.5,12,3,0.2,12,-0.8105917236940519,0.2941041532277326,0.0,-0.9576438003079182,False,2008-05-31,2021-12-31,164,0.5982088325517931,0.09815345133500514,0.20000000000000007,0.2000000000000001,0.0,0.09722532057787654,0.19225760456273766
0.5,12,3,0.25,12,-0.7331036988404609,0.46006209336965853,0.0,-0.9631347455252901,False,2008-05-31,2021-12-31,164,0.6181767673139861,0.10416266132093195,0.25,0.25000000000000006,0.08552631578947369,0.11943514604893417,0.22869843890111682
