strategy_column,benchmark_column,observed_sharpe_difference,bootstrap_mean_difference,bootstrap_p05,bootstrap_p50,bootstrap_p95,share_positive,block_months,samples,seed
strategy_return_net,equal_weight_return_net,0.049105903585067834,0.05489600261431025,-0.183866055295492,0.05685468450095654,0.30685653137294544,0.646,6,1000,7
strategy_return_net,static_60_40_return_net,-0.061348873354435174,-0.06326262643971424,-0.47519294281343777,-0.07297355553350582,0.35155639265028477,0.405,6,1000,7
