switch_score_buffer,cost_bps,strategy_net_annualized_return,strategy_net_volatility,strategy_net_sharpe,strategy_net_max_drawdown,equal_weight_net_annualized_return,equal_weight_net_volatility,equal_weight_net_sharpe,equal_weight_net_max_drawdown,average_strategy_turnover,average_equal_weight_turnover,months
0.0,0.0,0.07724835188129475,0.11688960063053476,0.6608659065014837,-0.27885042607076815,0.06692418463132754,0.09695210435656651,0.6902808874080391,-0.27885042607076815,0.16085271317829455,0.002325581395348837,215
0.0,5.0,0.07621549134703787,0.11689071085632846,0.6520235080160911,-0.2788504260707684,0.06690883309098106,0.09695729331200197,0.6900856119783891,-0.2788504260707684,0.16085271317829455,0.002325581395348837,215
0.0,10.0,0.07518325893946498,0.11689407248019433,0.6431742631963094,-0.27885042607076826,0.06689347781299748,0.09696251779892481,0.6898900660945836,-0.27885042607076826,0.16085271317829455,0.002325581395348837,215
0.0,25.0,0.07209032854340602,0.11691766314795185,0.6165905698284467,-0.2788504260707684,0.06684738953447478,0.09697840439099717,0.6893018085238825,-0.2788504260707684,0.16085271317829455,0.002325581395348837,215
0.05,0.0,0.07198716619487522,0.11560171384350869,0.6227171189894731,-0.27885042607076815,0.06692418463132754,0.09695210435656651,0.6902808874080391,-0.27885042607076815,0.14844961240310076,0.002325581395348837,215
0.05,5.0,0.07103750944206721,0.11560812111085744,0.6144681598444874,-0.2788504260707684,0.06690883309098106,0.09695729331200197,0.6900856119783891,-0.2788504260707684,0.14844961240310076,0.002325581395348837,215
0.05,10.0,0.0700883458221484,0.11561679657052475,0.6062124872954374,-0.27885042607076826,0.06689347781299748,0.09696251779892481,0.6898900660945836,-0.27885042607076826,0.14844961240310076,0.002325581395348837,215
0.05,25.0,0.06724381275121583,0.11565642633204419,0.581410085749684,-0.2788504260707684,0.06684738953447478,0.09697840439099717,0.6893018085238825,-0.2788504260707684,0.14844961240310076,0.002325581395348837,215
0.1,0.0,0.07877915727145379,0.10554923326195796,0.7463735627139545,-0.27885042607076815,0.06692418463132754,0.09695210435656651,0.6902808874080391,-0.27885042607076815,0.11821705426356588,0.002325581395348837,215
0.1,5.0,0.07801936431556356,0.10554671711977079,0.7391927143222262,-0.2788504260707684,0.06690883309098106,0.09695729331200197,0.6900856119783891,-0.2788504260707684,0.11821705426356588,0.002325581395348837,215
0.1,10.0,0.0772598419793562,0.10554616407770137,0.7320004725371049,-0.27885042607076826,0.06689347781299748,0.09696251779892481,0.6898900660945836,-0.27885042607076826,0.11821705426356588,0.002325581395348837,215
0.1,25.0,0.07498289846552875,0.1055562833131223,0.7103594036472407,-0.2788504260707684,0.06684738953447478,0.09697840439099717,0.6893018085238825,-0.2788504260707684,0.11821705426356588,0.002325581395348837,215
0.2,0.0,0.08106995031101194,0.0892227182548886,0.9086245285580059,-0.27885042607076815,0.06692418463132754,0.09695210435656651,0.6902808874080391,-0.27885042607076815,0.08255813953488372,0.002325581395348837,215
0.2,5.0,0.08053671778405413,0.08923614106385479,0.9025123321550222,-0.2788504260707684,0.06690883309098106,0.09695729331200197,0.6900856119783891,-0.2788504260707684,0.08255813953488372,0.002325581395348837,215
0.2,10.0,0.08000356969107014,0.08925120341370986,0.8963864534153811,-0.27885042607076826,0.06689347781299748,0.09696251779892481,0.6898900660945836,-0.27885042607076826,0.08255813953488372,0.002325581395348837,215
0.2,25.0,0.07840463204960368,0.08930621896138394,0.877930260192808,-0.2788504260707684,0.06684738953447478,0.09697840439099717,0.6893018085238825,-0.2788504260707684,0.08255813953488372,0.002325581395348837,215
0.5,0.0,0.08765874044925925,0.08926064546552866,0.9820536249999666,-0.27885042607076815,0.06692418463132754,0.09695210435656651,0.6902808874080391,-0.27885042607076815,0.05930232558139535,0.002325581395348837,215
0.5,5.0,0.08727514763241428,0.08925369178970244,0.9778323549691372,-0.2788504260707684,0.06690883309098106,0.09695729331200197,0.6900856119783891,-0.2788504260707684,0.05930232558139535,0.002325581395348837,215
0.5,10.0,0.0868915619655648,0.08924796458711956,0.9735971275932623,-0.27885042607076826,0.06689347781299748,0.09696251779892481,0.6898900660945836,-0.27885042607076826,0.05930232558139535,0.002325581395348837,215
0.5,25.0,0.08574084778568691,0.08923814392739414,0.9608094029325319,-0.2788504260707684,0.06684738953447478,0.09697840439099717,0.6893018085238825,-0.2788504260707684,0.05930232558139535,0.002325581395348837,215
