period,start,end,months,strategy_return,strategy_max_drawdown,equal_weight_return,equal_weight_max_drawdown,static_60_40_return,static_60_40_max_drawdown,strategy_minus_equal_weight,strategy_minus_static_60_40
gfc_available_sample,2008-05-31,2009-06-30,14,-0.14139573216217816,-0.27885047269973695,-0.14139573216217816,-0.27885047269973695,-0.125369300877203,-0.2372067638880675,0.0,-0.016026431284975162
covid_shock_recovery,2020-02-29,2020-12-31,11,0.25291342982140286,-0.02812315329377546,0.1678307431722461,-0.0332170905961886,0.16282616597089428,-0.04734079801514823,0.08508268664915675,0.09008726385050858
inflation_hiking_cycle,2022-01-31,2023-12-31,24,0.1766426241474901,-0.06856902744980964,0.002195489841117837,-0.14869799306461606,-0.06236580526275037,-0.20688441849708827,0.17444713430637226,0.23900842941024047
recent_sample,2024-01-31,2026-03-31,27,0.30054287339974084,-0.055676345013559,0.4007568925347931,-0.03189713591251797,0.2838642843601844,-0.055905851093203784,-0.10021401913505223,0.016678589039556435
