period,start,end,months,strategy_return,equal_weight_return,static_60_40_return,shy_return,strategy_minus_equal_weight,strategy_minus_static_60_40,strategy_minus_shy
2022,2022-01-31,2022-12-31,12,-0.06586611080118687,-0.05182221223278083,-0.1400554019407526,-0.02461291361517104,-0.014043898568406044,0.07418929113956574,-0.04125319718601583
2023,2023-01-31,2023-12-31,12,0.1594574809126139,0.05696996843332469,0.09034244091594057,0.03689060558396129,0.10248751247928922,0.06911503999667334,0.12256687532865262
2024,2024-01-31,2024-12-31,12,0.07728606898086077,0.12951643433286142,0.1261873321451945,0.03977236171378351,-0.05223036535200065,-0.04890126316433374,0.037513707267077256
2025,2025-01-31,2025-12-31,12,0.055236261991116864,0.17912043882308204,0.11348015347639873,0.0476956576901284,-0.12388417683196518,-0.05824389148528186,0.007540604300988463
2026,2026-01-31,2026-03-31,3,0.025200648956949623,0.05174884977788796,0.023825711226092228,0.0025363435617331564,-0.02654820082093834,0.0013749377308573951,0.022664305395216466
